Source,Overall,Consistently liberal,Mostly liberal,Mixed,Mostly conservative,Consistently conservative
cnn,0.54,0.56,0.66,0.61,0.39,0.14
abc-news,0.50,0.52,0.59,0.56,0.40,0.18
nbc-news,0.50,0.56,0.63,0.54,0.37,0.16
cbs-news,0.46,0.51,0.55,0.50,0.36,0.16
fox-news,0.44,0.06,0.28,0.47,0.72,0.88
msnbc,0.38,0.52,0.48,0.39,0.26,0.07
pbs,0.38,0.71,0.50,0.31,0.23,0.08
bbc,0.36,0.69,0.45,0.28,0.22,0.12
the-new-york-times,0.34,0.62,0.45,0.29,0.17,0.03
usa-today,0.33,0.29,0.38,0.38,0.29,0.14
wall-street-journal,0.31,0.35,0.34,0.28,0.32,0.30
npr,0.29,0.72,0.36,0.19,0.14,0.03
the-washington-post,0.27,0.48,0.33,0.23,0.17,0.07
google-news,0.25,0.25,0.26,0.29,0.20,0.11
yahoo-news,0.20,0.17,0.25,0.22,0.14,0.10
huffington-post,0.18,0.38,0.21,0.13,0.10,0.05
daily-show,0.16,0.45,0.21,0.10,0.05,0.00
colbert-report,0.15,0.36,0.20,0.10,0.07,0.02
the-new-yorker,0.14,0.32,0.18,0.11,0.07,0.01
the-economist,0.12,0.30,0.14,0.07,0.08,0.04
sean-hannity-show,0.12,0.00,0.01,0.06,0.28,0.62
rush-limbaugh-show,0.12,0.00,0.02,0.06,0.27,0.58
bloomberg,0.11,0.18,0.13,0.08,0.08,0.07
glenn-beck-program,0.10,0.00,0.01,0.04,0.24,0.51
al-jazeera-english,0.09,0.28,0.11,0.03,0.03,0.03
drudge-report,0.08,0.01,0.02,0.04,0.15,0.34
the-gaurdian,0.07,0.21,0.08,0.04,0.03,0.02
politico,0.07,0.21,0.07,0.02,0.04,0.05
the-blaze,0.06,0.01,0.00,0.02,0.13,0.37
mother-jones,0.06,0.25,0.05,0.01,0.00,0.01
brienbart,0.04,0.00,0.00,0.02,0.08,0.25
slate,0.04,0.14,0.04,0.01,0.01,0.00
ed-schultz-show,0.03,0.14,0.03,0.00,0.00,0.00
buzzfeed,0.02,0.06,0.03,0.01,0.01,0.00
daily-kos,0.02,0.10,0.01,0.00,0.00,0.00
thinkprogress,0.02,0.10,0.02,0.00,0.00,0.01
